Ward,Sub,Building Name,Building Address,Total Electors,Additions to the Voters List,Deletions to the Voters List,Corrections to the Voters List,School Board - Public,School Board - Catholic,School Board - French Public,School Board - French Catholic,School Board - Non Resident,Total Eligible Electors,Number Voted,% Voted,Rejected Ballots,Declined Ballots
2,35,Scarlett Heights Retirement Res.,4005 Eglinton Avenue West,39,31,29,1,31,10,0,0,0,41,36,0.88,0,0
2,36,20 Fontenay Court,20 Fontenay Court,323,4,11,1,209,104,1,2,0,316,80,0.25,0,0
2,37,Perspective,25 Fontenay Crt,278,13,8,2,235,48,0,0,0,283,97,0.34,0,0
2,38,Royal York Gardens,1139 Royal York Road,477,5,14,2,414,50,3,1,0,468,129,0.28,0,0
2,39,St. Giles Kingsway Presb. Church,15 Lambeth Road,2164,56,60,17,1707,419,8,22,5,2161,542,0.25,0,0
2,40,Humber Valley Village Jr. School,65 Hartfield Road,2149,18,66,11,1662,421,4,16,0,2103,417,0.2,0,1
2,41,Memorial Pool & Health Club,44 Montgomery Road,1832,20,12,25,1211,608,7,13,1,1840,453,0.25,1,0
2,42,Rosethorn Junior School,2 Remington Drive,1912,20,8,2,1330,562,3,21,3,1919,440,0.23,1,0
2,43,St. Gregory Catholic School,126 Rathburn Road,1938,32,11,4,1253,687,5,16,0,1961,470,0.24,0,0
2,44,Josyf Cardinal Slipyj School,35 West Deane Park Drive,2341,24,39,11,1421,886,5,13,0,2325,520,0.22,0,0
2,45,Summit Royal,625 The West Mall,847,6,25,9,590,233,2,3,0,828,208,0.25,0,0
2,46,The Buckingham,714 The West Mall,761,7,19,1,554,195,0,1,0,750,197,0.26,0,0
2,47,Wellesworth Jr. Public School,225 Wellesworth Drive,1466,15,13,9,983,475,0,11,1,1470,356,0.24,2,0
2,48,Michael Power/St. Joseph School,105 Eringate Drive,1192,8,7,0,690,498,3,2,1,1194,249,0.21,0,0
2,49,Etobicoke Olympium,590 Rathburn Road,1291,8,7,4,705,577,2,7,0,1291,218,0.17,0,0
2,50,Centennial Park Place,25 Centennial Park Road,28,10,16,0,14,7,1,0,0,22,14,0.64,0,0
2,51,Nativity of Our Lord Church,480 Rathburn Road,1730,5,6,8,1047,675,3,4,2,1731,295,0.17,0,0
2,52,Mill Valley Junior School,411 Mill Road,2483,16,17,12,1853,618,6,11,0,2488,507,0.2,0,0
2,54,Broadacres Junior School,45 Crendon Drive,2866,25,47,20,2047,783,8,9,1,2848,433,0.15,1,0
2,55,The Grange,551 The West Mall,484,2,3,4,378,104,1,0,0,483,148,0.31,0,0
2,58,The Westbury,495 The West Mall,47,0,0,0,43,4,0,0,0,47,22,0.47,0,0
2,61,Burnhamthorpe CI,500 The East Mall,1691,14,43,21,1023,627,5,4,1,1660,307,0.19,0,1
2,62,West Glen Junior School,47 Cowley Avenue,1837,20,39,13,1124,688,3,7,0,1822,323,0.18,0,0
2,63,Eatonville Care Centre,420 The East Mall,106,19,0,0,95,30,0,0,0,125,28,0.22,0,0
2,64,Our Lady Of Peace Catholic School,70 Mattice Ave,1224,13,11,6,767,442,2,8,9,1228,297,0.24,0,1
2,65,Wedgewood Junior School,5 Swan Avenue,2013,18,17,19,1198,801,3,4,2,2008,522,0.26,0,0
2,67,One Valhalla,5 Valhalla Inn Road,1008,19,7,1,929,84,2,3,0,1018,203,0.2,1,1
2,68,Bloorlea Middle School,4050 Bloor Street West,2437,50,23,6,1774,672,11,12,0,2469,457,0.19,3,0
2,70,Etobicoke Civic Centre,399 The West Mall,3049,49,59,2,2390,623,11,7,4,3035,434,0.14,0,0
2,71,Wesburn Manor,400 The West Mall,84,14,1,0,87,10,0,0,0,97,18,0.19,0,0
2,72,Eatonville Junior School,15 Rossburn Drive,1318,17,24,3,913,390,8,4,0,1315,282,0.21,2,0
2,73,Bloordale Middle School,10 Toledo Road,1085,10,6,10,773,307,0,4,5,1089,223,0.2,0,0
2,74,Millgate Manor Recreation Centre,303 Mill Road,1042,18,15,12,859,177,2,4,0,1042,316,0.3,0,0
2,75,The Masters,300 Mill Road,397,8,9,4,339,53,0,4,0,396,188,0.47,2,0
2,76,The Masters,288 Mill Road,366,8,19,5,274,74,6,2,0,356,154,0.43,0,0
2,77,Millwood Junior Public School,222 Mill Road,1819,16,11,9,1217,591,5,11,0,1824,475,0.26,1,0
2,78,St. Clement Catholic School,4319 Bloor Street West,1665,21,25,10,1113,535,3,4,5,1660,331,0.2,0,0
2,79,Bloordale United Church,4258 Bloor Street West,1472,24,29,8,863,588,2,10,5,1468,351,0.24,0,0
2,80,Dom Lipa Slovenian Linden Foundation,52 Neilson Drive,31,5,14,1,9,13,0,0,0,22,8,0.36,0,0
2,97,Mail in Voting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,967,NA,4,0
2,98,Etobicoke Olympium,590 Rathburn Rd,NA,63,49,79,NA,NA,NA,NA,NA,NA,2670,NA,3,5
2,99,Richview Library,1806 Islington Ave,NA,100,81,154,NA,NA,NA,NA,NA,NA,3655,NA,0,2
2 Total,NA,NA,NA,89701,1343,1553,764,58950,29837,200,405,99,89491,26784,0.3,44,16
3,1,Lambton Kingsway Jr. Middle School,525 Prince Edward Drive North,1878,43,26,9,1583,284,6,26,2,1901,593,0.31,1,0
3,2,Kingsway Retirement Residence,4251 Dundas Street  West,75,10,60,0,22,3,0,0,0,25,17,0.68,0,0
3,3,Kingsway Lambton United Church,85 The Kingsway,1922,1,15,8,1515,351,6,25,10,1907,534,0.28,0,0
3,5,All Saints Kingsway Anglican Church,2850 Bloor Street West,2144,25,79,7,1769,296,10,11,5,2091,526,0.25,0,0
3,6,Our Lady of Sorrows Catholic School,32 Montgomery Road,2073,23,39,5,1501,502,11,34,12,2060,588,0.29,0,3
3,7,The Kingsway on the Park,1 Aberfoyle Crescent,435,9,10,1,357,78,0,1,0,436,223,0.51,0,0
3,10,Islington Junior Middle School,44 Cordova Avenue,4683,60,171,30,3562,918,22,27,41,4570,888,0.19,3,1
3,11,Montgomery Mills Apartments,24 Mabelle Avenue,1026,16,72,8,857,105,7,0,0,969,208,0.22,0,1
3,13,Islington Manor,41 Mabelle Avenue,649,13,9,2,622,30,0,2,0,654,184,0.28,1,0
3,14,Port Royal Place V and IV,7 Michael Power Place,358,12,11,1,310,50,1,0,0,361,126,0.35,0,0
3,15,"Port Royal Place I, II, III",11 Michael Power Place,527,12,8,1,451,75,1,5,0,532,161,0.3,0,0
3,16,Church of The Resurrection,1 Resurrection Road,2456,40,70,14,2058,354,6,8,0,2426,473,0.19,0,0
3,17,Labdara Lithuanian Nursing Home,5 Resurrection Road,7,2,0,0,1,8,0,0,0,9,5,0.56,0,0
3,18,Tapestry Village Gate West,15 Summerland Terrace,58,46,30,0,64,9,0,1,0,74,58,0.8,0,1
3,19,Parc Nuvo,15 Viking Lane,391,10,7,2,336,53,1,3,0,393,114,0.29,0,0
3,20,Nuvo at Essex,25 Viking Lane,841,20,18,12,719,116,3,7,0,845,311,0.37,0,0
3,21,The Essex,5229 Dundas St W,750,21,20,17,616,132,0,3,0,751,263,0.35,0,0
3,22,Residence at Kingsgate,101 Subway Crescent,396,14,7,5,331,61,5,4,0,401,129,0.33,0,2
3,23,St. Elizabeth Catholic School,5 Redcar Avenue,2691,49,57,14,1764,874,16,21,9,2684,540,0.2,0,0
3,24,Fairfield Seniors Centre,80 Lothian Avenue,3277,42,38,31,2353,870,8,35,29,3295,710,0.22,0,0
3,25,Royal York Road United Church,851 Royal York Road,1873,22,16,25,1375,461,12,20,17,1885,526,0.28,0,0
3,26,Norseman Junior Middle School,105 Norseman Street,2626,36,37,12,1700,865,4,36,22,2627,652,0.25,1,0
3,27,Ivan Franko Home for the Aged,767 Royal York Road,32,18,8,2,28,14,0,0,0,42,20,0.5,0,1
3,28,Bishop Allen Academy,721 Royal York Road,1122,10,20,9,758,335,2,19,0,1114,237,0.21,0,0
3,29,Park Lawn Junior Middle School,71 Ballacaine Drive,2437,18,20,0,1900,480,11,36,2,2429,819,0.34,0,0
3,30,Etienne Brule Public School,50 Cloverhill Road,2745,40,124,13,2098,548,8,3,1,2658,418,0.16,2,0
3,31,St. Mark Catholic School,45 Cloverhill Road,2301,37,102,6,1565,642,10,16,5,2238,575,0.26,3,0
3,32,Etobicoke School of the Arts,675 Royal York Road,1964,46,16,8,1292,658,3,14,28,1995,455,0.23,0,0
3,33,Royal Canadian Legion Branch 643,110 Jutland Rd,2279,28,41,10,1508,708,3,7,40,2266,400,0.18,2,1
3,34,Loggia,1040 The Queensway,391,5,4,1,349,43,0,0,0,392,104,0.27,0,0
3,35,Kingsway Lambton Seniors Home,781 The Queensway,144,1,2,0,126,16,0,0,1,143,48,0.34,0,0
3,36,St. Louis Catholic School,11 Morgan Avenue,1846,31,40,8,1257,556,1,16,6,1836,437,0.24,1,0
3,37,Ourland Community Centre,18 Ourland Avenue,2468,53,33,12,1643,795,9,34,11,2492,618,0.25,0,3
3,38,Edwards Manor,340 Royal York Road,256,8,7,2,236,20,0,1,0,257,85,0.33,0,0
3,39,George R. Gauld Junior School,200 Melrose Street,2093,32,67,10,1534,495,8,11,7,2055,390,0.19,0,0
3,40,The Tides at Mystic Pointe,185 Legion Road North,1054,28,17,3,957,100,2,6,0,1065,221,0.21,0,0
3,41,Palace Place,1 Palace Pier Court,763,7,19,9,623,117,9,2,0,751,288,0.38,0,0
3,42,Palace Pier,2045 Lake Shore Blvd. West,682,13,24,4,563,100,4,3,2,672,280,0.42,1,0
3,43,Nevis Condominiums,88 Palace Pier Court,348,16,5,1,308,48,3,0,2,361,144,0.4,0,1
3,44,Grenadier Landing,5 Marine Parade Drive,379,6,8,3,343,29,3,2,0,377,133,0.35,0,0
3,45,Hearthstone by the Bay,3 Marine Parade Drive,175,3,9,0,156,13,0,0,0,169,88,0.52,1,0
3,46,The Waterford,2083 Lake Shore Blvd. West,359,7,16,1,316,32,1,0,0,349,135,0.39,0,0
3,47,Newport Beach,2111 Lake Shore Blvd. West,365,10,13,1,299,59,2,2,0,362,162,0.45,1,0
3,48,The Explorer,58 Marine Parade Drive,347,7,5,1,307,39,2,1,0,349,106,0.3,0,0
3,49,Voyager at Waterview,2121 Lake Shore Blvd W,616,14,9,2,547,68,2,4,0,621,162,0.26,3,0
3,50,Nautilus at Waterview,16 Brookers Lane,443,11,7,4,398,45,3,1,0,447,106,0.24,0,0
3,51,Waterscapes,80 Marine Parade Drive,317,17,2,0,307,23,0,2,0,332,88,0.27,0,0
3,52,Lago at the Waterfront,56 Annie Craig Dr,436,12,6,2,426,15,1,0,0,442,80,0.18,0,0
3,53,Ocean Club,60 Annie Craig Dr,445,14,7,0,437,13,0,2,0,452,89,0.2,0,0
3,54,Jade Waterfront Condos,33 Shore Breeze Dr,362,5,4,2,351,12,0,0,0,363,50,0.14,0,0
3,55,West Lake,2200 Lake Shore Blvd W,1148,25,47,5,1069,47,6,4,0,1126,166,0.15,0,0
3,56,Key West,36 Park Lawn Rd,390,9,4,3,376,18,0,1,0,395,77,0.19,0,0
3,57,South Beach,"88 Park Lawn Rd, Etobicoke",729,13,8,5,669,59,6,0,0,734,132,0.18,0,0
3,58,Beyond the Sea,2230 Lake Shore Blvd. W,905,25,23,6,835,58,6,8,0,907,222,0.24,0,0
3,59,Marina Del Rey Malibu Club,2261 Lake Shore Blvd. West,1110,32,26,7,959,141,6,11,0,1117,455,0.41,0,0
3,60,Grand Harbour,2285 Lake Shore Blvd. West,592,12,17,7,523,55,5,4,0,587,246,0.42,3,0
3,61,David Hornell Junior School,32 Victoria Street,1920,25,57,15,1528,331,7,14,9,1889,442,0.23,0,0
3,62,Storefront Humber Inc,2445 Lake Shore Blvd. West,1963,25,49,3,1514,405,9,3,9,1940,311,0.16,0,0
3,63,Griggs Manor,98 Cavell Avenue,1078,18,22,12,835,209,5,17,0,1066,324,0.3,3,0
3,64,Mimico Public Library,47 Station Rd,2132,75,42,3,1654,468,10,20,11,2163,608,0.28,0,0
3,65,Mimico Adult Centre,255 Royal York Road,2172,39,33,9,1761,396,9,15,1,2182,569,0.26,0,0
3,67,Second Street Junior Middle School,71 Second Street,1827,30,56,1,1447,329,5,14,9,1804,515,0.29,0,0
3,68,LAMP Community Health Centre,185 Fifth Street,1110,29,38,3,900,174,5,8,14,1101,246,0.22,0,0
3,69,Woods Manor,2835 Lake Shore Blvd. West,139,2,6,0,124,11,0,0,0,135,55,0.41,0,0
3,70,Seventh Street Junior School,101 Seventh Street,1774,29,55,0,1368,358,13,10,9,1758,585,0.33,3,0
3,71,Eau du Soleil,30 Shore Breeze Dr,878,15,13,3,858,19,0,2,1,880,109,0.12,0,0
3,72,Westlake Encore,10 Park Lawn Rd,473,14,3,0,463,20,2,0,0,485,82,0.17,0,0
3,73,Lerette Manor,250 Twelfth Street,1496,52,45,11,1253,238,1,9,0,1501,336,0.23,1,8
3,74,Lakeshore Collegiate Institute,350 Kipling Avenue,1331,14,35,8,1007,287,8,4,6,1312,239,0.18,0,0
3,75,Twentieth Street Junior School,3190 Lake Shore Blvd. West,1883,24,44,11,1410,421,9,12,17,1869,411,0.22,0,0
3,76,Lakeshore Lodge,3197 Lake Shore Blvd. West,4,19,0,0,20,3,0,0,0,23,23,1,1,0
3,77,Holy Trinity Catholic School,6 Colonel Samuel Smith Park Drive,1776,38,53,8,1374,361,12,11,5,1763,431,0.24,0,0
3,78,James S. Bell Junior Middle School,90 Thirty First Street,2616,56,105,29,2049,468,25,19,11,2572,548,0.21,1,1
3,79,Long Branch Public Library,3500 Lake Shore Blvd. West,1732,38,36,7,1418,307,0,5,7,1737,360,0.21,0,0
3,80,Vita on the Lake,70 Annie Craig Dr,2,30,0,0,26,5,1,0,0,32,32,1,0,0
3,81,Ecole Elementaire Micheline-Saint-Cyr,85 Forty First St,2308,40,42,14,1787,504,13,7,3,2314,525,0.23,0,0
3,82,Franklin Horner Community Centre,432 Horner Avenue,2589,34,32,21,1491,1079,4,1,19,2594,629,0.24,1,0
3,83,Alderwood Pool,2 Orianna Drive,2361,53,37,31,1574,779,8,9,17,2387,595,0.25,1,0
3,84,Lanor Junior Middle School,450 Lanor Avenue,2654,49,37,13,1765,874,12,14,4,2669,623,0.23,4,0
3,85,St. Ambrose Catholic School,20 Coules Court,2303,32,39,6,1601,656,6,7,33,2303,543,0.24,0,1
3,86,One Sherway (Tower 3 and 4),215 Sherway Gardens Road,655,11,20,1,578,64,2,1,0,645,138,0.21,0,0
3,87,One Sherway (Tower 1 and 2),225 Sherway Gardens Road,808,19,20,2,721,83,1,6,1,812,222,0.27,0,0
3,88,McCall Centre for Continuing Care,140 Sherway Drive,70,0,0,0,67,3,0,0,0,70,4,0.06,0,0
3,97,Mail in Voting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1158,NA,0,0
3,98,Fairfield Seniors Centre,80 Lothian Avenue,NA,115,83,74,NA,NA,NA,NA,NA,NA,4023,NA,1,1
3,99,Alderwood Pool,2 Orianna Drive,NA,118,56,83,NA,NA,NA,NA,NA,NA,2993,NA,4,0
3 Total,NA,NA,NA,103233,2182,2618,719,79522,21748,402,687,438,102797,33544,0.33,43,25
4,2,Warren Park Jr. Public School,135 Varsity Road,2732,60,28,8,2158,564,21,21,3,2767,701,0.25,0,0
4,4,Humbercrest Public School,14 St Marks Road,2369,43,30,22,1848,501,19,15,4,2387,761,0.32,2,0
4,5,King George Public School,25 Rexford Road,2539,70,52,12,1959,537,28,13,23,2560,767,0.3,1,0
4,6,James Culnan Catholic School,605 Willard Avenue,2327,64,50,16,1820,468,38,10,18,2354,710,0.3,0,0
4,7,Runnymede Healthcare Centre,625 Runnymede Road,0,35,0,0,24,10,0,0,1,35,35,1,1,0
4,8,Annette Community Recreation Centre,333 Annette Street,2704,88,160,22,2053,553,24,13,2,2645,692,0.26,0,0
4,9,St. John's Church,288 Humberside Avenue,1970,86,47,6,1713,255,24,16,0,2008,530,0.26,1,0
4,10,Annette Street Library,145 Annette Street,2278,117,84,6,1916,354,23,10,23,2326,583,0.25,1,0
4,11,Heintzman Place,60 Heintzman Street,875,28,15,3,778,92,6,9,0,885,390,0.44,0,0
4,13,Keele Street Christian Church,97 Annette Street,1479,80,71,7,1299,150,16,12,23,1500,407,0.27,0,0
4,14,Indian Road Crescent Public School,285 Indian Road Crescent,2213,80,48,11,1922,281,30,11,1,2245,708,0.32,4,0
4,15,The Crossways Mall,2340 Dundas Street West,877,14,32,2,775,77,4,2,2,860,215,0.25,0,0
4,17,St. Joan of Arc Church,1701 Bloor St. West,1976,114,97,11,1646,280,29,9,31,1995,635,0.32,3,2
4,18,Vilnius Manor,1700 Bloor Street West,1795,108,50,15,1600,223,13,0,18,1854,559,0.3,0,0
4,19,Keele Community Centre,181 Glenlake Avenue,1636,76,66,10,1420,202,23,7,0,1652,440,0.27,0,0
4,20,60 Mountview Avenue,60 Mountview Avenue,313,3,16,7,274,26,0,1,0,301,100,0.33,0,0
4,21,The Grenadier Retirement Residence,2100 Bloor Street West,170,30,25,0,150,24,0,1,0,175,68,0.39,0,1
4,22,45 Oakmount Road,45 Oakmount Road,318,10,26,0,255,44,1,0,0,300,109,0.36,0,0
4,23,High Park Residences,1830 Bloor St W,372,33,8,5,372,22,0,0,0,394,147,0.37,0,0
4,24,22 Oakmount Road,22 Oakmount Road,290,11,26,7,234,34,7,0,0,275,99,0.36,0,0
4,25,255 Glenlake Avenue,255 Glenlake Avenue,436,20,23,2,392,35,2,3,0,432,172,0.4,0,1
4,26,111 Pacific Avenue,111 Pacific Avenue,577,10,27,0,530,21,6,3,0,560,164,0.29,0,0
4,27,Park Place,299 Glenlake Avenue,276,10,7,2,255,20,5,1,0,281,114,0.41,0,1
